21h50m0s,-28d24m0s
21h28m0s,-27d30m0s
21h6m0s,-26d22m0s
20h45m0s,-25d3m0s
20h24m0s,-23d32m0s
20h3m0s,-21d51m0s
19h43m0s,-20d0m0s
19h24m0s,-18d2m0s
19h5m0s,-15d57m0s
18h46m0s,-13d45m0s
18h28m0s,-11d28m0s
18h10m0s,-9d7m0s
17h52m0s,-6d43m0s
17h35m0s,-4d16m0s
17h18m0s,-1d48m0s
17h0m0s,0d39m0s
16h43m0s,3d8m0s
16h25m0s,5d36m0s
16h7m0s,8d1m0s
15h49m0s,10d24m0s
15h31m0s,12d42m0s
21h53m0s,-25d15m0s
21h31m0s,-24d4m0s
21h10m0s,-22d41m0s
20h50m0s,-21d9m0s
20h30m0s,-19d27m0s
20h10m0s,-17d37m0s
19h51m0s,-15d41m0s
19h32m0s,-13d38m0s
19h13m0s,-11d30m0s
18h55m0s,-9d18m0s
18h37m0s,-7d1m0s
18h19m0s,-4d43m0s
18h2m0s,-2d23m0s
17h44m0s,-0d2m0s
17h27m0s,2d18m0s
17h9m0s,4d38m0s
16h51m0s,6d57m0s
16h33m0s,9d13m0s
16h15m0s,11d25m0s
15h56m0s,13d33m0s
15h37m0s,15d37m0s
21h56m0s,-22d8m0s
21h36m0s,-20d40m0s
21h16m0s,-19d3m0s
20h56m0s,-17d18m0s
20h36m0s,-15d26m0s
20h18m0s,-13d27m0s
19h59m0s,-11d2m0s
19h40m0s,-9d16m0s
19h22m0s,-7d4m0s
19h4m0s,-4d51m0s
18h46m0s,-2d34m0s
18h28m0s,-0d18m0s
18h11m0s,1d58m0s
17h53m0s,4d14m0s
17h35m0s,6d28m0s
17h17m0s,8d41m0s
16h58m0s,10d49m0s
16h40m0s,12d55m0s
16h21m0s,14d54m0s
16h2m0s,16d48m0s
15h42m0s,18d36m0s
22h0m0s,-19d5m0s
21h40m0s,-17d20m0s
21h21m0s,-15d28m0s
21h3m0s,-13d31m0s
20h43m0s,-11d28m0s
20h25m0s,-9d20m0s
20h7m0s,-7d9m0s
19h49m0s,-4d55m0s
19h31m0s,-2d40m0s
19h13m0s,-0d24m0s
18h55m0s,1d51m0s
18h37m0s,4d7m0s
18h20m0s,6d22m0s
18h1m0s,8d34m0s
17h43m0s,10d42m0s
17h25m0s,12d47m0s
17h6m0s,14d47m0s
16h46m0s,16d41m0s
16h27m0s,18d28m0s
16h7m0s,20d7m0s
15h46m0s,21d39m0s
22h6m0s,-16d5m0s
21h46m0s,-14d4m0s
21h28m0s,-11d58m0s
21h9m0s,-9d48m0s
20h51m0s,-7d34m0s
20h33m0s,-5d17m0s
20h16m0s,-2d58m0s
19h58m0s,-0d38m0s
19h40m0s,1d40m0s
19h22m0s,4d0m0s
19h4m0s,6d18m0s
18h46m0s,8d34m0s
18h28m0s,10d47m0s
18h10m0s,12d55m0s
17h51m0s,14d59m0s
17h32m0s,16d57m0s
17h13m0s,18d48m0s
16h52m0s,20d31m0s
16h32m0s,22d6m0s
16h12m0s,23d30m0s
15h50m0s,24d45m0s
22h11m0s,-13d10m0s
21h52m0s,-10d5m0s
21h35m0s,-8d33m0s
21h17m0s,-6d10m0s
21h0m0s,-3d45m0s
20h42m0s,-1d18m0s
20h25m0s,1d8m0s
20h7m0s,3d35m0s
19h49m0s,6d1m0s
19h32m0s,8d24m0s
19h14m0s,10d45m0s
18h56m0s,13d1m0s
18h37m0s,15d13m0s
18h18m0s,17d19m0s
17h59m0s,19d18m0s
17h39m0s,21d10m0s
17h19m0s,22d52m0s
16h58m0s,24d25m0s
16h37m0s,25d46m0s
16h15m0s,26d57m0s
15h53m0s,27d54m0s
22h17m0s,-10d21m0s
22h0m0s,-7d48m0s
21h42m0s,-5d14m0s
21h25m0s,-2d37m0s
21h8m0s,-0d0m0s
20h51m0s,2d35m0s
20h34m0s,5d12m0s
20h17m0s,7d46m0s
20h0m0s,10d18m0s
19h42m0s,12d46m0s
19h24m0s,15d10m0s
19h5m0s,17d28m0s
18h46m0s,19d40m0s
18h27m0s,21d44m0s
18h7m0s,23d40m0s
17h46m0s,25d25m0s
17h25m0s,26d59m0s
17h3m0s,28d21m0s
16h41m0s,29d30m0s
16h18m0s,30d25m0s
15h55m0s,31d4m0s
22h24m0s,-7d37m0s
22h7m0s,-4d49m0s
21h51m0s,-2d1m0s
21h34m0s,0d47m0s
21h18m0s,3d36m0s
21h1m0s,6d24m0s
20h44m0s,9d10m0s
20h27m0s,11d53m0s
20h10m0s,14d32m0s
19h52m0s,17d6m0s
19h34m0s,19d34m0s
19h15m0s,21d55m0s
18h55m0s,24d7m0s
18h35m0s,26d10m0s
18h14m0s,28d3m0s
17h52m0s,29d42m0s
17h30m0s,31d9m0s
17h7m0s,32d20m0s
16h44m0s,33d16m0s
16h21m0s,33d55m0s
